And				= And
Beq_S			= Br
Br_S			= Br
Brtrue_S		= Br
Call			= Call
Conv_I			= Convi
Conv_U			= Convu
Conv_U2			= Convu
Ldarg_0			= Ldarg
Ldarg_1			= Ldarg
Ldarg_2			= Ldarg
Ldc_I4			= Ldc
Ldc_I4_0		= Ldc
Ldc_I4_1		= Ldc
Ldc_I4_2		= Ldc
Ldc_I4_3		= Ldc
Ldc_I4_4		= Ldc
Ldc_I4_5		= Ldc
Ldc_I4_8		= Ldc
Ldc_I4_S		= Ldc
Ldfld			= Ldfld
Ldind_U2		= Ldind
Ldind_U4		= Ldind
Ldloc_0			= Ldloc
Ldloc_1			= Ldloc
Ldloc_2			= Ldloc
Ldsfld			= Ldsfld
Mul				= Mul
Nop				= Nop
Pop				= Pop
Ret				= Ret
Stind_I2		= Stind
Stind_I4		= Stind
Stloc_0			= Stloc
Stloc_1			= Stloc
Stloc_2			= Stloc
Stsfld			= Stsfld 	(Total # base ops: 19)
